,features,moran's I,pvalue
0,Unnamed: 0,1.0000009602410074,0.001
1,Longitude,1.0000015107836773,0.001
2,Latitude,0.99999938236253,0.001
3,UHI Index,0.9426726260917714,0.001
4,B01,0.9745846602985929,0.001
5,B02,0.9461555394648065,0.001
6,B03,0.9428648040074686,0.001
7,B04,0.9488074570342289,0.001
8,B05,0.9426652663291628,0.001
9,B06,0.8984912746398107,0.001
10,B07,0.9201919203023375,0.001
11,B08,0.9181000366428851,0.001
12,B8A,0.9294967769781737,0.001
13,B11,0.9059296942109808,0.001
14,B12,0.943265958827748,0.001
15,NDVI,0.9583501650193762,0.001
16,NDBI,0.9454024188378012,0.001
17,NDWI,0.9582224372836154,0.001
18,B11/B12,0.9581550958085773,0.001
19,VWI,0.9416784821052692,0.001
20,Building_Index,0.9581550958085773,0.001
21,Soil_Ratio,0.9533238741325373,0.001
22,Vegetation_Health,0.9499004337974187,0.001
23,NDVI_NDBI,0.9425246628556967,0.001
24,NDVI_NDWI,0.95198446298712,0.001
25,NDBI_NDWI,0.9430245052421458,0.001
26,B08_NDVI,0.9485873407307006,0.001
